role,perf,area,sex,id,age,salary,vol_leave
CEO,3,Sales,Male,1,62,1.00E+06,0
Director,3,Marketing,Male,32,53.35896922,258934.6589,0
Director,1,Finance,Male,76,53.48636242,189828.442,1
Director,2,Sales,Male,69,49.16571336,207492.3476,0
Director,3,Marketing,Male,28,49.77968278,188204.7455,0
Director,1,Other,Female,77,39.59078557,194836.5825,0
Director,2,Accounting,Female,70,52.87238958,197505.6651,0
Director,3,Finance,Female,103,58.31714558,196360.7534,0
Director,2,Sales,Female,71,49.47528548,168706.8536,1
Director,1,Marketing,Female,25,55.2933612,149691.5602,0
Director,2,Sales,Male,31,54.88338534,189308.5984,1
Director,2,Other,Male,39,51.70215155,134680.6269,0
Director,2,Sales,Male,108,53.37831827,197657.8257,0
Director,1,Accounting,Male,49,51.16037404,137259.2931,1
Director,3,Finance,Female,89,55.75212052,198748.3808,0
Director,3,Marketing,Female,14,51.97359339,176156.1236,0
Director,3,Finance,Female,35,52.28394092,207136.0671,0
Director,2,Sales,Male,47,57.78756519,207325.1783,0
Director,2,Sales,Male,111,51.93944487,147974.8585,0
Director,2,Other,Male,91,52.2862983,311130.5115,0
Director,3,Sales,Male,65,53.88009912,116304.324,1
Director,1,Sales,Female,102,57.88443966,155316.1873,1
Director,3,Other,Male,81,51.73913193,140882.461,0
Director,2,Marketing,Female,104,47.33060028,177223.2263,1
Director,1,Other,Female,41,45.44666713,211202.8446,0
Director,3,Other,Female,74,58.76498855,157544.5702,0
Director,3,Marketing,Male,50,54.6529296,170298.7559,1
Director,3,Finance,Male,40,48.76038918,215435.684,0
Director,3,Finance,Male,101,51.61051143,137250.3227,0
Director,3,Marketing,Male,95,48.02690733,179386.275,0
Director,3,Sales,Female,45,52.38841239,187911.7587,1
Director,2,Marketing,Female,43,52.16087397,269017.7231,0
Director,2,Other,Female,80,47.45930777,186606.1006,1
Director,3,Marketing,Male,48,45.45212169,131473.6463,0
Director,3,Marketing,Male,63,47.99885257,259173.7938,0
Director,2,Other,Female,90,46.87425814,213285.7705,0
Director,2,Marketing,Female,29,53.61875426,157282.479,1
Director,2,Finance,Female,109,52.68642385,182104.6657,0
Director,2,Marketing,Female,66,53.65332187,273357.7144,0
Director,2,Accounting,Female,87,47.70886293,119190.8281,1
Director,3,Other,Female,98,52.69516772,170224.9248,0
Director,3,Other,Female,97,46.92391333,187728.6616,0
Director,3,Finance,Female,72,48.40425789,192954.5833,1
Director,3,Marketing,Male,96,58.41813614,116386.337,0
Director,2,Marketing,Female,92,45.42268689,269356.0386,0
Director,1,Sales,Male,44,48.40724352,185020.7358,0
Director,2,Finance,Female,88,50.3445854,267970.0342,0
Director,1,Other,Female,22,46.23393869,210530.0313,0
Director,3,Other,Male,85,52.58010442,224311.6158,0
Director,3,Sales,Female,60,54.43975223,213872.7588,1
Director,2,Finance,Male,105,54.62445774,168899.7746,0
Director,3,Accounting,Female,73,51.16886352,113088.0494,1
Director,3,Sales,Male,24,50.2289452,234016.7338,0
